chrom	n_het	n_hom	het_hom_ratio	mean_abs_dev	delta_dev	tail_frac	delta_tail	mean_dp	bins(0.0-1.0)
1	229193	136680	1.68	0.0846	0.0012	0.1296	0.0043	45.2	0.0:11,0.1:3930,0.2:8033,0.3:12300,0.4:51578,0.5:95424,0.6:48200,0.7:7739,0.8:1525,0.9:378,1.0:75
2	235405	141285	1.67	0.0791	-0.0042	0.1132	-0.0121	43.8	0.0:15,0.1:2948,0.2:5811,0.3:11736,0.4:53651,0.5:101035,0.6:50860,0.7:7849,0.8:1174,0.9:239,1.0:87
3	195688	116698	1.68	0.0748	-0.0085	0.1004	-0.0248	42.9	0.0:10,0.1:1613,0.2:3592,0.3:8992,0.4:44740,0.5:86187,0.6:43308,0.7:6198,0.8:822,0.9:161,1.0:65
4	197765	133166	1.49	0.0758	-0.0075	0.1012	-0.024	43.0	0.0:12,0.1:1939,0.2:3764,0.3:8919,0.4:45571,0.5:86509,0.6:43459,0.7:6405,0.8:879,0.9:242,1.0:66
5	176950	103570	1.71	0.0748	-0.0086	0.1025	-0.0227	42.8	0.0:7,0.1:1215,0.2:3051,0.3:8231,0.4:40615,0.5:77658,0.6:39097,0.7:5893,0.8:919,0.9:213,1.0:51
6	184596	110899	1.66	0.076	-0.0074	0.1043	-0.021	42.5	0.0:18,0.1:1505,0.2:3268,0.3:8782,0.4:42707,0.5:79945,0.6:40901,0.7:6226,0.8:937,0.9:252,1.0:55
7	162826	99359	1.64	0.0845	0.0011	0.1269	0.0017	42.8	0.0:12,0.1:3103,0.2:5437,0.3:8942,0.4:36939,0.5:67871,0.6:34044,0.7:5354,0.8:854,0.9:211,1.0:59
8	143166	90036	1.59	0.0743	-0.0091	0.101	-0.0242	43.1	0.0:5,0.1:955,0.2:2416,0.3:6471,0.4:32811,0.5:63137,0.6:31643,0.7:4841,0.8:706,0.9:141,1.0:40
9	142706	72240	1.98	0.0974	0.014	0.1724	0.0472	46.5	0.0:11,0.1:4069,0.2:8178,0.3:10624,0.4:31246,0.5:54738,0.6:27847,0.7:4708,0.8:1001,0.9:232,1.0:52
10	146805	87333	1.68	0.0847	0.0013	0.1229	-0.0023	44.5	0.0:11,0.1:3133,0.2:4735,0.3:7603,0.4:33039,0.5:61348,0.6:31000,0.7:4850,0.8:798,0.9:241,1.0:47
11	136444	92164	1.48	0.0741	-0.0093	0.0995	-0.0258	42.2	0.0:12,0.1:840,0.2:2160,0.3:6188,0.4:31865,0.5:59721,0.6:30261,0.7:4625,0.8:579,0.9:146,1.0:47
12	127905	86913	1.47	0.0758	-0.0076	0.1034	-0.0219	42.6	0.0:9,0.1:1079,0.2:2322,0.3:5974,0.4:29498,0.5:55694,0.6:28232,0.7:4239,0.8:646,0.9:172,1.0:40
13	103333	73935	1.4	0.0824	-0.001	0.1226	-0.0027	43.5	0.0:7,0.1:1583,0.2:3166,0.3:5376,0.4:23016,0.5:43790,0.6:22105,0.7:3371,0.8:707,0.9:183,1.0:29
14	93234	56811	1.64	0.0823	-0.0011	0.1273	0.0021	43.9	0.0:4,0.1:1164,0.2:2944,0.3:5093,0.4:20827,0.5:39302,0.6:19935,0.7:3142,0.8:652,0.9:137,1.0:34
15	83716	51657	1.62	0.0849	0.0016	0.1367	0.0115	44.9	0.0:10,0.1:1269,0.2:3009,0.3:5024,0.4:18432,0.5:35022,0.6:17399,0.7:2803,0.8:580,0.9:135,1.0:33
16	87654	51409	1.71	0.0872	0.0038	0.1333	0.0081	64.8	0.0:6,0.1:1941,0.2:3298,0.3:4921,0.4:19402,0.5:36302,0.6:18171,0.7:2844,0.8:565,0.9:174,1.0:30
17	89031	47776	1.86	0.0914	0.0081	0.1513	0.0261	48.4	0.0:12,0.1:2131,0.2:3785,0.3:5589,0.4:19666,0.5:35445,0.6:18192,0.7:3406,0.8:646,0.9:129,1.0:30
18	76793	51623	1.49	0.0765	-0.0069	0.1023	-0.023	43.9	0.0:3,0.1:782,0.2:1564,0.3:3427,0.4:17599,0.5:33462,0.6:17002,0.7:2432,0.8:406,0.9:93,1.0:23
19	72050	36839	1.96	0.0813	-0.002	0.1237	-0.0016	44.1	0.0:7,0.1:873,0.2:1820,0.3:3755,0.4:16258,0.5:30413,0.6:15450,0.7:2824,0.8:489,0.9:130,1.0:31
20	83462	32360	2.58	0.1131	0.0297	0.207	0.0817	53.3	0.0:12,0.1:4212,0.2:6027,0.3:6199,0.4:16733,0.5:29278,0.6:15754,0.7:3769,0.8:1164,0.9:296,1.0:18
21	54192	29343	1.85	0.1241	0.0407	0.2332	0.1079	65.7	0.0:9,0.1:3363,0.2:5537,0.3:4435,0.4:10702,0.5:18006,0.6:9308,0.7:1826,0.8:790,0.9:195,1.0:21
22	57053	22879	2.49	0.1287	0.0453	0.2441	0.1188	57.8	0.0:8,0.1:4149,0.2:6137,0.3:5090,0.4:10990,0.5:18566,0.6:9353,0.7:1930,0.8:705,0.9:105,1.0:20
X	7563	104423	0.07	0.1304	0.047	0.2566	0.1314	38.4	0.0:4,0.1:469,0.2:852,0.3:652,0.4:1555,0.5:2363,0.6:1195,0.7:265,0.8:146,0.9:60,1.0:2
Y	10431	2648	3.94	0.24	0.1566	0.501	0.3758	85.3	0.0:6,0.1:2137,0.2:2738,0.3:1565,0.4:1208,0.5:889,0.6:728,0.7:463,0.8:398,0.9:299
