source,target,transformed_treat_score,rank,is_known_positive,off_label
CHEBI:8412,MONDO:0005212,3.117303586079257,19842921.0,False,False
CHEBI:63916,MONDO:0006058,3.252384275799889,7267025.0,False,False
CHEBI:6121,MONDO:0009759,3.2458657348469817,7626409.0,False,False
CHEBI:50730,MONDO:0009759,3.115426235574482,20115867.0,False,False
CHEBI:7903,MONDO:0000141,3.116794098062182,19916878.0,False,False
CHEBI:31663,MONDO:0000141,3.1175122336474623,19812509.0,False,False
CHEBI:7872,MONDO:0005212,3.250372751130962,7376230.0,False,False
CHEBI:7488,MONDO:0000141,3.116421859696147,19970777.0,False,False
UNII:NU90V55F8I,MONDO:0005212,3.2384029659774054,8060740.0,False,False
CHEBI:135627,MONDO:0006058,3.2344561968246124,8300264.0,False,False
CHEBI:85182,MONDO:0005212,3.2306137836652296,8540342.0,False,False
UNII:D6OMY2L0WA,MONDO:0006058,3.2470524066582094,7559697.0,False,False
CHEBI:59594,MONDO:0005212,3.243312826388695,7771889.0,False,False
CHEBI:45409,MONDO:0005212,3.251545697617899,7312383.0,False,False
UNII:R30772KCU0,MONDO:0006058,3.240677735515378,7925840.0,False,False
CHEBI:39501,MONDO:0000141,3.229330374845895,8622287.0,False,False
CHEBI:31536,MONDO:0006058,3.245363236572363,7654894.0,False,False
CHEBI:62984,MONDO:0005212,3.2499399025746474,7399783.0,False,False
CHEBI:132967,MONDO:0006058,3.229529312587619,8609549.0,False,False
CHEBI:233446,MONDO:0005212,3.237793049104596,8097357.0,False,False
CHEBI:691037,MONDO:0000141,3.116291078498908,19989688.0,False,False
UNII:N7T15V1FUY,MONDO:0006058,3.247327938675836,7544199.0,False,False
CHEBI:7789,MONDO:0009759,3.2316398421220223,8475404.0,False,False
CHEBI:71417,MONDO:0009759,3.2386085658743333,8048706.0,False,False
CHEBI:167707,MONDO:0005212,3.245486567217076,7647806.0,False,False
UNII:W4141180YD,MONDO:0006058,3.2507276139506462,7356899.0,False,False
CHEBI:3127,MONDO:0005212,3.1133251886182736,20426044.0,False,False
CHEBI:71193,MONDO:0013582,3.249875588984121,7403362.0,False,False
CHEBI:3699,MONDO:0000141,3.1165936613152323,19945880.0,False,False
CHEBI:43968,MONDO:0006058,3.2290979110742812,8637146.0,False,False
UNII:RZT8C352O1,MONDO:0005212,3.2401006545227427,7960002.0,False,False
CHEBI:8207,MONDO:0009759,3.1177380965994246,19779848.0,False,False
CHEBI:8426,MONDO:0013582,3.247769736707055,7519558.0,False,False
CHEBI:6888,MONDO:0009759,3.2385282007729,8053431.0,False,False
CHEBI:71193,MONDO:0009759,3.1131372981581755,20453924.0,False,False
CHEBI:15854,MONDO:0013582,3.2292603840567438,8626859.0,False,False
UNII:FU77B4U5Z0,MONDO:0005212,3.243768043822805,7745476.0,False,False
CHEBI:6339,MONDO:0009759,3.115879797945391,20049634.0,False,False
CHEBI:3757,MONDO:0005212,3.2533871744533114,7213281.0,False,False
CHEBI:135954,MONDO:0005212,3.116222235242827,19999644.0,False,False
CHEBI:4466,MONDO:0006058,3.2410614826121864,7902951.0,False,False
CHEBI:5123,MONDO:0006058,3.246858967872854,7570421.0,False,False
CHEBI:204734,MONDO:0009759,3.1176162479890284,19797587.0,False,False
CHEBI:135276,MONDO:0009759,3.113565065463079,20390462.0,False,False
CHEBI:9435,MONDO:0009759,3.1061944267355717,21507758.0,False,False
CHEBI:182080,MONDO:0006058,3.078205046928785,26209095.0,False,False
UNII:7K28NB895L,MONDO:0009759,3.0768103025598084,26461746.0,False,False
CHEBI:2676,MONDO:0006058,3.163685350853704,14075773.0,False,False
CHEBI:16480,MONDO:0013582,3.168827670505652,13545788.0,False,False
CHEBI:6709,MONDO:0006058,3.105405208130814,21630247.0,False,False
CHEBI:2208,MONDO:0000141,3.077561354634975,26324986.0,False,False
CHEBI:15854,MONDO:0005212,3.0780635985234466,26234451.0,False,False
CHEBI:62984,MONDO:0013582,3.162072845075765,14246933.0,False,False
PUBCHEM.COMPOUND:54671203,MONDO:0013582,3.078933151603164,26078310.0,False,False
CHEBI:50922,MONDO:0013582,3.0792278076413235,26025732.0,False,False
CHEBI:5950,MONDO:0005212,3.0791722835857382,26035567.0,False,False
CHEBI:3176,MONDO:0009759,3.1046229136852124,21752430.0,False,False
CHEBI:45924,MONDO:0006058,3.1066460743646074,21437760.0,False,False
CHEBI:9939,MONDO:0005212,3.076891667685903,26446867.0,False,False
CHEBI:8404,MONDO:0006058,3.163518882954299,14093473.0,False,False
UMLS:C4684961,MONDO:0005212,3.1673960189730073,13691549.0,False,False
CHEBI:8232,MONDO:0006058,3.164514034172937,13989085.0,False,False
UNII:23HYE36B0I,MONDO:0005212,3.1069832068157925,21385630.0,False,False
CHEBI:73038,MONDO:0005212,3.1617554913119665,14280774.0,False,False
CHEBI:534,MONDO:0006058,3.163238181651902,14123006.0,False,False
CHEBI:3223,MONDO:0013582,3.0776346695514807,26311574.0,False,False
CHEBI:10023,MONDO:0009759,3.107197996099191,21352554.0,False,False
CHEBI:3547,MONDO:0009759,3.106022158612536,21534534.0,False,False
CHEBI:2208,MONDO:0009759,3.07658350628928,26503066.0,False,False
UNII:21904A5386,MONDO:0013582,3.0786837094739488,26123003.0,False,False
CHEBI:5147,MONDO:0006058,3.167377892239309,13693434.0,False,False
UNII:Q4K217VGA9,MONDO:0005212,3.1668828516560286,13743902.0,False,False
CHEBI:9241,MONDO:0009759,3.1687055793803296,13558062.0,False,False
CHEBI:135361,MONDO:0005212,3.0780341654709815,26239743.0,False,False
CHEBI:16962,MONDO:0009759,3.167760723652467,13654037.0,False,False
CHEBI:188559,MONDO:0013582,3.076386096044284,26538747.0,False,False
UNII:4B33BGI082,MONDO:0013582,3.1066495085957806,21437259.0,False,False
CHEBI:31793,MONDO:0000141,3.0780815654528135,26231235.0,False,False
CHEBI:17650,MONDO:0000141,3.166359526513858,13797713.0,False,False
CHEBI:85973,MONDO:0005212,3.105919422334164,21550526.0,False,False
CHEBI:4356,MONDO:0013582,3.1625674620301263,14194230.0,False,False
CHEBI:18358,MONDO:0000141,3.078362157335837,26181002.0,False,False
CHEBI:16163,MONDO:0006058,3.16457460022439,13982853.0,False,False
CHEBI:9316,MONDO:0000141,3.104165461543464,21824590.0,False,False
CHEBI:2948,MONDO:0000141,3.163439604493957,14101838.0,False,False
CHEBI:534,MONDO:0000141,3.0790192789813142,26062844.0,False,False
CHEBI:6970,MONDO:0000141,3.0761179431172407,26587286.0,False,False
CHEBI:42944,MONDO:0013582,3.1066621120657447,21435337.0,False,False
CHEBI:87715,MONDO:0006058,3.16436786834322,14004408.0,False,False
CHEBI:8346,MONDO:0006058,3.166677574756352,13765032.0,False,False
CHEBI:135361,MONDO:0013582,3.103590064360618,21915195.0,False,False
CHEBI:31174,MONDO:0005212,3.1685664664918898,13572212.0,False,False
CHEBI:133011,MONDO:0009759,3.1031197848419767,21989412.0,False,False
CHEBI:7581,MONDO:0005212,3.079216028755707,26027821.0,False,False
CHEBI:72564,MONDO:0013582,3.106226355965185,21502860.0,False,False
CHEBI:31401,MONDO:0006058,3.3698762305610486,3088228.0,False,False
CHEBI:9421,MONDO:0006058,3.144939112926788,16187255.0,False,False
CHEBI:85984,MONDO:0006058,3.1464907801392314,16001979.0,False,False
CHEBI:4786,MONDO:0009759,3.279445899258898,5951091.0,False,False
UNII:F60NE4XB53,MONDO:0005212,3.4011029869194607,2472968.0,False,False
CHEBI:28077,MONDO:0006058,3.378236991862371,2908930.0,False,False
CHEBI:617099,MONDO:0005212,3.2733882928728795,6222374.0,False,False
CHEBI:3013,MONDO:0013582,3.2817262011607395,5852303.0,False,False
UNII:P0GVQ9A4S5,MONDO:0006058,3.285111950694035,5708224.0,False,False
UNII:LIA7Z4002P,MONDO:0006058,3.3662900294461293,3168906.0,False,False
UNII:SMA5ZS5B22,MONDO:0005212,3.3986250747291336,2516780.0,False,False
CHEBI:138865,MONDO:0006058,3.2836133204690396,5771531.0,False,False
CHEBI:7640,MONDO:0006058,3.146961328647771,15945944.0,False,False
CHEBI:231425,MONDO:0005212,3.1474853041500435,15884053.0,False,False
CHEBI:131169,MONDO:0005212,3.383921027131982,2793412.0,False,False
UNII:913P6LK81M,MONDO:0006058,3.2802749384329877,5915202.0,False,False
CHEBI:3213,MONDO:0006058,3.397337572763356,2539784.0,False,False
CHEBI:231598,MONDO:0005212,3.3676803089383345,3137051.0,False,False
CHEBI:143117,MONDO:0006058,3.372376770988117,3033348.0,False,False
UNII:N0A21N6RAU,MONDO:0005212,3.3722200127752924,3036838.0,False,False
UNII:105J35OE21,MONDO:0005212,3.3665991112844544,3161676.0,False,False
UNII:L929CBB126,MONDO:0006058,3.3786918135863626,2899428.0,False,False
CHEBI:4670,MONDO:0006058,3.376999864907484,2934896.0,False,False
CHEBI:27779,MONDO:0005212,3.2867181977605178,5641395.0,False,False
CHEBI:9570,MONDO:0009759,3.1435830153722994,16350507.0,False,False
CHEBI:61080,MONDO:0006058,3.3954045155776553,2574562.0,False,False
CHEBI:32016,MONDO:0005212,3.2878482588443645,5594791.0,False,False
UNII:9R3D3Y0UHS,MONDO:0006058,3.3814928127854857,2842210.0,False,False
CHEBI:8028,MONDO:0006058,3.2703987911845083,6361115.0,False,False
CHEBI:75922,MONDO:0006058,3.146122641659517,16045730.0,False,False
UNII:T432289GYZ,MONDO:0006058,3.271284589320768,6319606.0,False,False
CHEBI:50885,MONDO:0000141,3.1423030194193293,16506437.0,False,False
CHEBI:135737,MONDO:0009759,3.1454116642159917,16130775.0,False,False
CHEBI:8426,MONDO:0005212,3.393138306015213,2615919.0,False,False
UNII:XN7MM8XG2M,MONDO:0006058,3.1465593053262553,15993874.0,False,False
CHEBI:17076,MONDO:0006058,3.2775446876173877,6035014.0,False,False
CHEBI:42797,MONDO:0009759,3.387482036018543,2723414.0,False,False
CHEBI:7496,MONDO:0006058,3.2870840222118884,5626173.0,False,False
CHEBI:39112,MONDO:0005212,3.381048470046452,2851255.0,False,False
CHEBI:22652,MONDO:0005212,3.279242006681528,5960199.0,False,False
CHEBI:229222,MONDO:0006058,3.3949679396928616,2582470.0,False,False
CHEBI:7903,MONDO:0006058,3.3707677645050564,3068470.0,False,False
CHEBI:177836,MONDO:0006058,3.370549184343675,3073353.0,False,False
DRUGBANK:DB17831,MONDO:0005212,3.3643985163961148,3212047.0,False,False
CHEBI:42797,MONDO:0005212,3.36789464426176,3132221.0,False,False
CHEBI:3766,MONDO:0009759,3.287086256240057,5626068.0,False,False
CHEBI:195558,MONDO:0005212,3.2863679869544398,5655972.0,False,False
CHEBI:2904,MONDO:0006058,3.401182551792065,2471571.0,False,False
UMLS:C4764258,MONDO:0006058,3.281551430209949,5859867.0,False,False
UNII:VRN8S9CW5V,MONDO:0006058,3.279301370933654,5957506.0,False,False
DRUGBANK:DB00058,MONDO:0006058,3.382885314550598,2814091.0,False,False
CHEBI:50693,MONDO:0006058,3.2783993766956887,5997449.0,False,False
CHEBI:5123,MONDO:0005212,3.2733155932993108,6225697.0,False,False
UNII:9K8GNJ2874,MONDO:0000141,3.1462135079338744,16035214.0,False,False
CHEBI:2618,MONDO:0009759,3.2702009341359766,6370371.0,False,False
CHEBI:64733,MONDO:0009759,3.1439051798083693,16311683.0,False,False
CHEBI:3311,MONDO:0009759,3.110989178878546,20775728.0,False,False
CHEBI:50693,MONDO:0009759,3.1121854143716936,20595498.0,False,False
CHEBI:135499,MONDO:0005212,3.064180904623945,28806838.0,False,False
CHEBI:70735,MONDO:0000141,3.1254874323682333,18689681.0,False,False
CHEBI:91407,MONDO:0000141,3.0660431680403155,28454870.0,False,False
CHEBI:68554,MONDO:0005212,3.1081616180605343,21204640.0,False,False
CHEBI:6887,MONDO:0013582,3.110080956358753,20912530.0,False,False
UNII:LKC0U3A8NJ,MONDO:0013582,3.065766011208454,28507175.0,False,False
CHEBI:8107,MONDO:0000141,3.1273056707642217,18441911.0,False,False
CHEBI:6722,MONDO:0000141,3.1263778100129618,18567987.0,False,False
CHEBI:134716,MONDO:0013582,3.062813233255124,29066883.0,False,False
UNII:21904A5386,MONDO:0000141,3.0636847705732184,28900978.0,False,False
CHEBI:3568,MONDO:0006058,3.108526255184444,21148886.0,False,False
CHEBI:8081,MONDO:0009759,3.1114116089305206,20711936.0,False,False
CHEBI:94385,MONDO:0013582,3.123956392540892,18900752.0,False,False
CHEBI:9738,MONDO:0005212,3.109553013773084,20992877.0,False,False
CHEBI:32229,MONDO:0013582,3.062514087111392,29123791.0,False,False
CHEBI:47780,MONDO:0009759,3.1098224545235977,20951750.0,False,False
CHEBI:36704,MONDO:0000141,3.1279483201859586,18354931.0,False,False
CHEBI:61397,MONDO:0000141,3.1090614793359386,21067732.0,False,False
CHEBI:50885,MONDO:0013582,3.129529737567282,18142851.0,False,False
CHEBI:82700,MONDO:0006058,3.1094298528737307,21011688.0,False,False
CHEBI:3011,MONDO:0000141,3.0656437505704597,28530203.0,False,False
UNII:8RW88Y506K,MONDO:0005212,3.125081985696231,18745165.0,False,False
UNII:LR3UXN0193,MONDO:0013582,3.1104598258184506,20854987.0,False,False
UNII:41KZS5432U,MONDO:0005212,3.1112775892408138,20732270.0,False,False
CHEBI:6965,MONDO:0005212,3.108491596930179,21154179.0,False,False
CHEBI:87715,MONDO:0013582,3.1097772653770006,20958688.0,False,False
CHEBI:82702,MONDO:0000141,3.1100711129841008,20914002.0,False,False
CHEBI:6717,MONDO:0006058,3.107906205561668,21243842.0,False,False
CHEBI:6076,MONDO:0000141,3.0645655815131567,28733893.0,False,False
CHEBI:6438,MONDO:0000141,3.0638036009379994,28878350.0,False,False
